geo,time,sl_uem_totl_zs
afg,1991,10.649
afg,1992,10.821
afg,1993,10.723
afg,1994,10.726
afg,1995,11.179
afg,1996,10.962
afg,1997,10.783
afg,1998,10.802
afg,1999,10.809
afg,2000,10.806
afg,2001,10.809
afg,2002,11.257
afg,2003,11.141
afg,2004,10.988
afg,2005,11.217
afg,2006,11.099
afg,2007,11.301
afg,2008,11.093
afg,2009,11.311
afg,2010,11.352
afg,2011,11.054
afg,2012,11.341
afg,2013,11.193
afg,2014,11.142
afg,2015,11.127
afg,2016,11.158
afg,2017,11.18
afg,2018,11.152
afg,2019,11.217
afg,2020,11.71
afg,2021,13.283
ago,1991,4.208
ago,1992,4.208
ago,1993,4.231
ago,1994,4.162
ago,1995,4.114
ago,1996,4.097
ago,1997,4.088
ago,1998,4.072
ago,1999,4.055
ago,2000,4.03
ago,2001,4.004
ago,2002,3.961
ago,2003,3.958
ago,2004,3.916
ago,2005,3.882
ago,2006,3.858
ago,2007,3.821
ago,2008,3.793
ago,2009,3.78
ago,2010,9.43
ago,2011,7.36
ago,2012,7.347
ago,2013,7.366
ago,2014,7.372
ago,2015,7.392
ago,2016,7.412
ago,2017,7.408
ago,2018,7.421
ago,2019,7.421
ago,2020,8.333
ago,2021,8.53
alb,1991,10.307
alb,1992,30.015
alb,1993,25.258
alb,1994,20.84
alb,1995,14.611
alb,1996,13.931
alb,1997,16.876
alb,1998,20.047
alb,1999,20.84
alb,2000,19.028
alb,2001,18.575
alb,2002,17.895
alb,2003,16.989
alb,2004,16.31
alb,2005,15.97
alb,2006,15.63
alb,2007,15.97
alb,2008,13.06
alb,2009,13.67
alb,2010,14.09
alb,2011,13.48
alb,2012,13.38
alb,2013,15.87
alb,2014,18.05
alb,2015,17.19
alb,2016,15.42
alb,2017,13.62
alb,2018,12.3
alb,2019,11.47
alb,2020,13.329
alb,2021,11.819
are,1991,1.866
are,1992,1.842
are,1993,1.849
are,1994,1.806
are,1995,1.8
are,1996,1.9
are,1997,1.98
are,1998,2.137
are,1999,2.216
are,2000,2.25
are,2001,2.493
are,2002,2.648
are,2003,2.751
are,2004,2.907
are,2005,3.12
are,2006,2.937
are,2007,2.872
are,2008,2.737
are,2009,2.679
are,2010,2.481
are,2011,2.302
are,2012,2.185
are,2013,2.044
are,2014,1.911
are,2015,1.768
are,2016,1.64
are,2017,2.46
are,2018,2.352
are,2019,2.23
are,2020,3.188
are,2021,3.358
arg,1991,5.44
arg,1992,6.36
arg,1993,10.1
arg,1994,11.76
arg,1995,18.8
arg,1996,17.11
arg,1997,14.82
arg,1998,12.65
arg,1999,14.05
arg,2000,15
arg,2001,17.32
arg,2002,19.59
arg,2003,15.36
arg,2004,13.52
arg,2005,11.51
arg,2006,10.08
arg,2007,8.47
arg,2008,7.84
arg,2009,8.65
arg,2010,7.71
arg,2011,7.18
arg,2012,7.22
arg,2013,7.1
arg,2014,7.27
arg,2015,7.521
arg,2016,8.111
arg,2017,8.35
arg,2018,9.22
arg,2019,9.84
arg,2020,11.46
arg,2021,10.902
arm,1991,1.6
arm,1992,1.8
arm,1993,5.3
arm,1994,6.6
arm,1995,6.7
arm,1996,9.3
arm,1997,10.8
arm,1998,9.4
arm,1999,11.2
arm,2000,11.048
arm,2001,10.912
arm,2002,10.776
arm,2003,10.594
arm,2004,10.344
arm,2005,10.203
arm,2006,9.997
arm,2007,9.81
arm,2008,14.393
arm,2009,18.44
arm,2010,19.01
arm,2011,18.44
arm,2012,17.3
arm,2013,16.18
arm,2014,17.5
arm,2015,18.26
arm,2016,17.62
arm,2017,17.7
arm,2018,18.97
arm,2019,18.3
arm,2020,21.206
arm,2021,20.897
aus,1991,9.58
aus,1992,10.73
aus,1993,10.87
aus,1994,9.72
aus,1995,8.47
aus,1996,8.51
aus,1997,8.36
aus,1998,7.68
aus,1999,6.87
aus,2000,6.28
aus,2001,6.74
aus,2002,6.37
aus,2003,5.93
aus,2004,5.39
aus,2005,5.03
aus,2006,4.78
aus,2007,4.38
aus,2008,4.23
aus,2009,5.56
aus,2010,5.21
aus,2011,5.08
aus,2012,5.22
aus,2013,5.66
aus,2014,6.08
aus,2015,6.05
aus,2016,5.71
aus,2017,5.59
aus,2018,5.3
aus,2019,5.16
aus,2020,6.46
aus,2021,5.112
aut,1991,3.42
aut,1992,3.59
aut,1993,4.25
aut,1994,3.54
aut,1995,4.35
aut,1996,5.28
aut,1997,5.15
aut,1998,5.52
aut,1999,4.7
aut,2000,4.69
aut,2001,4.01
aut,2002,4.85
aut,2003,4.78
aut,2004,5.83
aut,2005,5.63
aut,2006,5.24
aut,2007,4.86
aut,2008,4.13
aut,2009,5.3
aut,2010,4.82
aut,2011,4.56
aut,2012,4.87
aut,2013,5.33
aut,2014,5.62
aut,2015,5.72
aut,2016,6.01
aut,2017,5.5
aut,2018,4.85
aut,2019,4.49
aut,2020,5.36
aut,2021,6.301
aze,1991,0.9
aze,1992,1.8
aze,1993,4.5
aze,1994,6.3
aze,1995,7.2
aze,1996,8.1
aze,1997,9.1
aze,1998,10
aze,1999,10.9
aze,2000,11.78
aze,2001,10.91
aze,2002,10.04
aze,2003,9.17
aze,2004,7.99
aze,2005,7.26
aze,2006,6.62
aze,2007,6.33
aze,2008,5.86
aze,2009,5.74
aze,2010,5.63
aze,2011,5.42
aze,2012,5.19
aze,2013,4.97
aze,2014,4.91
aze,2015,4.96
aze,2016,5
aze,2017,5
aze,2018,4.9
aze,2019,4.85
aze,2020,6.463
aze,2021,6.583
bdi,1991,1.512
bdi,1992,1.531
bdi,1993,1.562
bdi,1994,1.56
bdi,1995,1.581
bdi,1996,1.588
bdi,1997,1.572
bdi,1998,1.557
bdi,1999,1.584
bdi,2000,1.59
bdi,2001,1.587
bdi,2002,1.586
bdi,2003,1.613
bdi,2004,1.599
bdi,2005,1.62
bdi,2006,1.612
bdi,2007,1.627
bdi,2008,1.63
bdi,2009,1.623
bdi,2010,1.608
bdi,2011,1.602
bdi,2012,1.59
bdi,2013,1.578
bdi,2014,1.57
bdi,2015,1.6
bdi,2016,1.59
bdi,2017,1.589
bdi,2018,1.587
bdi,2019,1.589
bdi,2020,1.707
bdi,2021,1.792
bel,1991,6.99
bel,1992,6.7
bel,1993,8.08
bel,1994,9.65
bel,1995,9.34
bel,1996,9.48
bel,1997,8.96
bel,1998,9.32
bel,1999,8.65
bel,2000,6.59
bel,2001,6.18
bel,2002,6.91
bel,2003,7.68
bel,2004,7.36
bel,2005,8.44
bel,2006,8.25
bel,2007,7.46
bel,2008,6.98
bel,2009,7.91
bel,2010,8.29
bel,2011,7.14
bel,2012,7.54
bel,2013,8.43
bel,2014,8.52
bel,2015,8.48
bel,2016,7.83
bel,2017,7.09
bel,2018,5.95
bel,2019,5.36
bel,2020,5.55
bel,2021,6.42
ben,1991,1.485
ben,1992,1.51
ben,1993,1.413
ben,1994,1.357
ben,1995,1.254
ben,1996,1.183
ben,1997,1.096
ben,1998,1.023
ben,1999,0.935
ben,2000,0.851
ben,2001,0.771
ben,2002,0.69
ben,2003,0.735
ben,2004,0.774
ben,2005,0.825
ben,2006,0.86
ben,2007,0.895
ben,2008,0.942
ben,2009,0.995
ben,2010,1.04
ben,2011,2.65
ben,2012,2.471
ben,2013,2.287
ben,2014,2.133
ben,2015,2.007
ben,2016,1.828
ben,2017,1.644
ben,2018,1.47
ben,2019,1.47
ben,2020,1.584
ben,2021,1.574
bfa,1991,2.575
bfa,1992,2.611
bfa,1993,2.581
bfa,1994,2.58
bfa,1995,2.528
bfa,1996,2.471
bfa,1997,2.47
bfa,1998,2.44
bfa,1999,2.507
bfa,2000,2.605
bfa,2001,2.648
bfa,2002,2.73
bfa,2003,2.78
bfa,2004,3.415
bfa,2005,4
bfa,2006,3.655
bfa,2007,3.3
bfa,2008,3.413
bfa,2009,3.559
bfa,2010,3.645
bfa,2011,3.785
bfa,2012,3.913
bfa,2013,4.047
bfa,2014,4.188
bfa,2015,4.321
bfa,2016,4.434
bfa,2017,4.563
bfa,2018,4.69
bfa,2019,4.693
bfa,2020,4.895
bfa,2021,4.758
bgd,1991,2.2
bgd,1992,2.333
bgd,1993,2.356
bgd,1994,2.376
bgd,1995,2.482
bgd,1996,2.51
bgd,1997,2.687
bgd,1998,2.9
bgd,1999,3.055
bgd,2000,3.27
bgd,2001,3.617
bgd,2002,3.898
bgd,2003,4.32
bgd,2004,4.261
bgd,2005,4.25
bgd,2006,3.59
bgd,2007,4.127
bgd,2008,4.567
bgd,2009,5
bgd,2010,3.38
bgd,2011,3.771
bgd,2012,4.119
bgd,2013,4.43
bgd,2014,4.384
bgd,2015,4.366
bgd,2016,4.35
bgd,2017,4.37
bgd,2018,4.413
bgd,2019,4.438
bgd,2020,5.413
bgd,2021,5.229
bgr,1991,11.1
bgr,1992,15.3
bgr,1993,16.4
bgr,1994,12.8
bgr,1995,11.1
bgr,1996,12.5
bgr,1997,13.7
bgr,1998,12.2
bgr,1999,14.1
bgr,2000,16.22
bgr,2001,19.92
bgr,2002,18.11
bgr,2003,13.73
bgr,2004,12.04
bgr,2005,10.08
bgr,2006,8.95
bgr,2007,6.88
bgr,2008,5.61
bgr,2009,6.82
bgr,2010,10.28
bgr,2011,11.26
bgr,2012,12.27
bgr,2013,12.94
bgr,2014,11.42
bgr,2015,9.14
bgr,2016,7.57
bgr,2017,6.16
bgr,2018,5.21
bgr,2019,4.23
bgr,2020,5.12
bgr,2021,5.424
bhr,1991,1.013
bhr,1992,1.048
bhr,1993,1.008
bhr,1994,1.106
bhr,1995,1.077
bhr,1996,1.079
bhr,1997,1.09
bhr,1998,1.081
bhr,1999,1.088
bhr,2000,1.084
bhr,2001,1.108
bhr,2002,1.105
bhr,2003,1.087
bhr,2004,1.086
bhr,2005,1.091
bhr,2006,1.097
bhr,2007,1.088
bhr,2008,1.107
bhr,2009,1.139
bhr,2010,1.13
bhr,2011,1.181
bhr,2012,1.2
bhr,2013,1.184
bhr,2014,1.19
bhr,2015,1.202
bhr,2016,1.191
bhr,2017,1.183
bhr,2018,1.201
bhr,2019,1.196
bhr,2020,1.781
bhr,2021,1.874
bhs,1991,12.17
bhs,1992,14.81
bhs,1993,12.72
bhs,1994,13.83
bhs,1995,10.83
bhs,1996,11.46
bhs,1997,9.76
bhs,1998,7.65
bhs,1999,7.45
bhs,2000,7.201
bhs,2001,6.87
bhs,2002,9.05
bhs,2003,10.84
bhs,2004,10.2
bhs,2005,10.2
bhs,2006,7.54
bhs,2007,7.88
bhs,2008,8.18
bhs,2009,14.25
bhs,2010,14.314
bhs,2011,14.52
bhs,2012,14.02
bhs,2013,16.18
bhs,2014,13.8
bhs,2015,12
bhs,2016,12.7
bhs,2017,9.8
bhs,2018,10
bhs,2019,10.061
bhs,2020,13.321
bhs,2021,13.239
bih,1991,17.55
bih,1992,18.302
bih,1993,19.319
bih,1994,20.713
bih,1995,21.77
bih,1996,22.767
bih,1997,23.61
bih,1998,24.485
bih,1999,25.094
bih,2000,25.783
bih,2001,26.614
bih,2002,27.546
bih,2003,28.364
bih,2004,29.367
bih,2005,30.41
bih,2006,31.11
bih,2007,28.98
bih,2008,23.41
bih,2009,24.07
bih,2010,27.31
bih,2011,27.58
bih,2012,28.01
bih,2013,27.49
bih,2014,27.52
bih,2015,27.69
bih,2016,25.41
bih,2017,20.53
bih,2018,18.4
bih,2019,15.69
bih,2020,15.265
bih,2021,15.215
blr,1991,0.6
blr,1992,3.1
blr,1993,8.5
blr,1994,12.8
blr,1995,17.7
blr,1996,24.4
blr,1997,17.1
blr,1998,14
blr,1999,12.8
blr,2000,12.262
blr,2001,11.554
blr,2002,10.907
blr,2003,10.324
blr,2004,9.82
blr,2005,9.063
blr,2006,8.4
blr,2007,7.673
blr,2008,7.032
blr,2009,6.1
blr,2010,6.253
blr,2011,6.166
blr,2012,6.051
blr,2013,6.006
blr,2014,5.994
blr,2015,5.84
blr,2016,5.84
blr,2017,5.65
blr,2018,4.76
blr,2019,4.16
blr,2020,4.768
blr,2021,4.736
blz,1991,9.7
blz,1992,9.691
blz,1993,9.78
blz,1994,11.1
blz,1995,12.48
blz,1996,13.82
blz,1997,12.68
blz,1998,14.31
blz,1999,12.84
blz,2000,10.851
blz,2001,9.07
blz,2002,10.04
blz,2003,10.24
blz,2004,10.587
blz,2005,10.91
blz,2006,9.39
blz,2007,8.51
blz,2008,8.18
blz,2009,8.25
blz,2010,8.242
blz,2011,8.284
blz,2012,8.306
blz,2013,8.35
blz,2014,8.24
blz,2015,7.58
blz,2016,7
blz,2017,6.6
blz,2018,6.644
blz,2019,6.711
blz,2020,8.462
blz,2021,8.219
bol,1991,2.957
bol,1992,3.26
bol,1993,3.084
bol,1994,3.08
bol,1995,2.753
bol,1996,2.443
bol,1997,2.08
bol,1998,2.129
bol,1999,2.443
bol,2000,2.378
bol,2001,2.485
bol,2002,2.494
bol,2003,2.537
bol,2004,2.503
bol,2005,2.544
bol,2006,2.576
bol,2007,2.646
bol,2008,2.6
bol,2009,2.97
bol,2010,2.614
bol,2011,2.25
bol,2012,2.07
bol,2013,2.44
bol,2014,2.02
bol,2015,3.11
bol,2016,3.5
bol,2017,3.65
bol,2018,3.52
bol,2019,3.82
bol,2020,7.9
bol,2021,8.509
bra,1991,6.314
bra,1992,6.42
bra,1993,6.03
bra,1994,6.169
bra,1995,6.42
bra,1996,7.25
bra,1997,8.16
bra,1998,9.42
bra,1999,10.21
bra,2000,9.561
bra,2001,9.61
bra,2002,9.37
bra,2003,9.99
bra,2004,9.11
bra,2005,9.57
bra,2006,8.64
bra,2007,8.33
bra,2008,7.34
bra,2009,8.52
bra,2010,7.274
bra,2011,6.92
bra,2012,7.19
bra,2013,6.98
bra,2014,6.66
bra,2015,8.43
bra,2016,11.6
bra,2017,12.82
bra,2018,12.33
bra,2019,11.93
bra,2020,13.69
bra,2021,14.403
brb,1991,22.667
brb,1992,22.94
brb,1993,24.54
brb,1994,22.98
brb,1995,19.66
brb,1996,14.71
brb,1997,14.61
brb,1998,12.4
brb,1999,10.61
brb,2000,9.35
brb,2001,9.85
brb,2002,10.32
brb,2003,11
brb,2004,9.57
brb,2005,9.08
brb,2006,8.73
brb,2007,7.41
brb,2008,8.12
brb,2009,10.02
brb,2010,10.69
brb,2011,11.19
brb,2012,11.59
brb,2013,11.55
brb,2014,12.17
brb,2015,9.8
brb,2016,8.25
brb,2017,8.62
brb,2018,8.32
brb,2019,8.41
brb,2020,10.377
brb,2021,10.413
brn,1991,4.7
brn,1992,4.861
brn,1993,4.824
brn,1994,5.027
brn,1995,5.184
brn,1996,5.237
brn,1997,5.192
brn,1998,5.332
brn,1999,5.575
brn,2000,5.678
brn,2001,5.785
brn,2002,5.941
brn,2003,6.012
brn,2004,6.021
brn,2005,6.125
brn,2006,6.41
brn,2007,6.333
brn,2008,6.349
brn,2009,6.465
brn,2010,6.774
brn,2011,6.941
brn,2012,6.916
brn,2013,6.88
brn,2014,6.97
brn,2015,7.785
brn,2016,8.383
brn,2017,9.32
brn,2018,8.7
brn,2019,6.92
brn,2020,7.682
brn,2021,7.649
btn,1991,1.41
btn,1992,1.451
btn,1993,1.413
btn,1994,1.433
btn,1995,1.445
btn,1996,1.418
btn,1997,1.405
btn,1998,1.4
btn,1999,1.4
btn,2000,1.593
btn,2001,1.9
btn,2002,1.889
btn,2003,1.8
btn,2004,2.49
btn,2005,3.1
btn,2006,3.13
btn,2007,3.7
btn,2008,3.655
btn,2009,3.96
btn,2010,3.32
btn,2011,3.23
btn,2012,2.05
btn,2013,2.87
btn,2014,2.63
btn,2015,2.45
btn,2016,2.493
btn,2017,2.453
btn,2018,2.444
btn,2019,2.502
btn,2020,3.649
btn,2021,4.332
bwa,1991,13.82
bwa,1992,16.302
bwa,1993,18.761
bwa,1994,21.2
bwa,1995,21.369
bwa,1996,21.59
bwa,1997,21.169
bwa,1998,20.86
bwa,1999,18.292
bwa,2000,15.88
bwa,2001,18.54
bwa,2002,21.131
bwa,2003,23.8
bwa,2004,21.831
bwa,2005,19.814
bwa,2006,17.78
bwa,2007,17.205
bwa,2008,16.642
bwa,2009,16.17
bwa,2010,17.86
bwa,2011,18.417
bwa,2012,18.951
bwa,2013,19.401
bwa,2014,19.991
bwa,2015,20.571
bwa,2016,21.029
bwa,2017,21.566
bwa,2018,22.071
bwa,2019,22.61
bwa,2020,24.93
bwa,2021,24.722
caf,1991,5.617
caf,1992,5.687
caf,1993,5.72
caf,1994,5.721
caf,1995,5.699
caf,1996,5.74
caf,1997,5.763
caf,1998,5.711
caf,1999,5.677
caf,2000,5.609
caf,2001,5.693
caf,2002,5.796
caf,2003,5.811
caf,2004,5.716
caf,2005,5.695
caf,2006,5.659
caf,2007,5.606
caf,2008,5.47
caf,2009,5.487
caf,2010,5.666
caf,2011,5.615
caf,2012,5.546
caf,2013,5.516
caf,2014,5.529
caf,2015,5.606
caf,2016,5.652
caf,2017,5.648
caf,2018,5.605
caf,2019,5.623
caf,2020,6.357
caf,2021,6.575
can,1991,10.32
can,1992,11.2
can,1993,11.38
can,1994,10.4
can,1995,9.49
can,1996,9.62
can,1997,9.1
can,1998,8.28
can,1999,7.58
can,2000,6.83
can,2001,7.22
can,2002,7.66
can,2003,7.57
can,2004,7.19
can,2005,6.76
can,2006,6.32
can,2007,6.04
can,2008,6.14
can,2009,8.34
can,2010,8.06
can,2011,7.51
can,2012,7.29
can,2013,7.07
can,2014,6.91
can,2015,6.91
can,2016,7
can,2017,6.34
can,2018,5.83
can,2019,5.66
can,2020,9.46
can,2021,7.51
chanisl,1991,5.962
chanisl,1992,6.403
chanisl,1993,7.375
chanisl,1994,7.569
chanisl,1995,7.302
chanisl,1996,7.23
chanisl,1997,7.01
chanisl,1998,6.573
chanisl,1999,6.237
chanisl,2000,5.662
chanisl,2001,5.316
chanisl,2002,5.589
chanisl,2003,5.925
chanisl,2004,6.115
chanisl,2005,6.048
chanisl,2006,5.745
chanisl,2007,5.428
chanisl,2008,5.497
chanisl,2009,6.883
chanisl,2010,7.245
chanisl,2011,7.467
chanisl,2012,8.261
chanisl,2013,8.827
chanisl,2014,8.609
chanisl,2015,8.215
chanisl,2016,7.742
chanisl,2017,7.138
chanisl,2018,6.574
chanisl,2019,6.413
chanisl,2020,7.686
chanisl,2021,7.37
che,1991,1.78
che,1992,2.81
che,1993,3.72
che,1994,3.88
che,1995,3.33
che,1996,3.71
che,1997,4.2
che,1998,3.6
che,1999,3.15
che,2000,2.67
che,2001,2.49
che,2002,2.92
che,2003,4.12
che,2004,4.32
che,2005,4.44
che,2006,4
che,2007,3.65
che,2008,3.35
che,2009,4.12
che,2010,4.8
che,2011,4.4
che,2012,4.48
che,2013,4.75
che,2014,4.83
che,2015,4.8
che,2016,4.92
che,2017,4.8
che,2018,4.71
che,2019,4.39
che,2020,4.82
che,2021,5.321
chl,1991,5.23
chl,1992,4.35
chl,1993,4.49
chl,1994,5.87
chl,1995,4.7
chl,1996,7.41
chl,1997,7.14
chl,1998,7.31
chl,1999,11.16
chl,2000,10.49
chl,2001,10.39
chl,2002,10.17
chl,2003,9.77
chl,2004,10.16
chl,2005,9.34
chl,2006,9.02
chl,2007,8.43
chl,2008,9.29
chl,2009,11.31
chl,2010,8.42
chl,2011,7.34
chl,2012,6.66
chl,2013,6.21
chl,2014,6.66
chl,2015,6.51
chl,2016,6.74
chl,2017,6.96
chl,2018,7.23
chl,2019,7.29
chl,2020,11.18
chl,2021,9.128
chn,1991,2.37
chn,1992,2.37
chn,1993,2.69
chn,1994,2.9
chn,1995,3
chn,1996,3.12
chn,1997,3.23
chn,1998,3.24
chn,1999,3.25
chn,2000,3.26
chn,2001,3.8
chn,2002,4.24
chn,2003,4.58
chn,2004,4.49
chn,2005,4.52
chn,2006,4.43
chn,2007,4.35
chn,2008,4.59
chn,2009,4.72
chn,2010,4.53
chn,2011,4.55
chn,2012,4.57
chn,2013,4.59
chn,2014,4.61
chn,2015,4.63
chn,2016,4.53
chn,2017,4.44
chn,2018,4.28
chn,2019,4.52
chn,2020,5
chn,2021,4.817
civ,1991,6.613
civ,1992,6.7
civ,1993,5.85
civ,1994,4.99
civ,1995,4.1
civ,1996,4.093
civ,1997,4.11
civ,1998,4.1
civ,1999,4.339
civ,2000,4.584
civ,2001,4.795
civ,2002,5.031
civ,2003,5.255
civ,2004,5.464
civ,2005,5.688
civ,2006,5.918
civ,2007,6.145
civ,2008,6.368
civ,2009,6.593
civ,2010,6.835
civ,2011,7.125
civ,2012,7.22
civ,2013,4.25
civ,2014,3.701
civ,2015,3.149
civ,2016,2.6
civ,2017,3.27
civ,2018,3.293
civ,2019,3.318
civ,2020,3.488
civ,2021,3.468
cmr,1991,7.497
cmr,1992,7.612
cmr,1993,7.796
cmr,1994,7.811
cmr,1995,7.931
cmr,1996,8.06
cmr,1997,7.931
cmr,1998,7.821
cmr,1999,7.703
cmr,2000,7.591
cmr,2001,7.46
cmr,2002,6.699
cmr,2003,5.93
cmr,2004,5.143
cmr,2005,4.4
cmr,2006,3.731
cmr,2007,3.06
cmr,2008,3.412
cmr,2009,3.767
cmr,2010,4.11
cmr,2011,3.965
cmr,2012,3.822
cmr,2013,3.675
cmr,2014,3.53
cmr,2015,3.551
cmr,2016,3.575
cmr,2017,3.6
cmr,2018,3.617
cmr,2019,3.638
cmr,2020,3.837
cmr,2021,3.865
cod,1991,2.935
cod,1992,2.938
cod,1993,2.943
cod,1994,2.916
cod,1995,2.901
cod,1996,2.903
cod,1997,2.911
cod,1998,2.898
cod,1999,2.901
cod,2000,2.904
cod,2001,2.888
cod,2002,2.871
cod,2003,2.86
cod,2004,2.853
cod,2005,2.85
cod,2006,3.083
cod,2007,3.313
cod,2008,3.547
cod,2009,3.793
cod,2010,4.014
cod,2011,4.252
cod,2012,4.49
cod,2013,4.476
cod,2014,4.464
cod,2015,4.466
cod,2016,4.477
cod,2017,4.465
cod,2018,4.451
cod,2019,4.451
cod,2020,5.266
cod,2021,5.426
cog,1991,20.068
cog,1992,20.054
cog,1993,20.069
cog,1994,20.091
cog,1995,20
cog,1996,19.983
cog,1997,20.008
cog,1998,19.958
cog,1999,19.993
cog,2000,19.895
cog,2001,19.908
cog,2002,19.884
cog,2003,19.895
cog,2004,19.854
cog,2005,19.8
cog,2006,19.856
cog,2007,20.031
cog,2008,19.984
cog,2009,19.997
cog,2010,20.066
cog,2011,20.184
cog,2012,20.176
cog,2013,20.317
cog,2014,20.31
cog,2015,20.447
cog,2016,20.559
cog,2017,20.559
cog,2018,20.614
cog,2019,20.622
cog,2020,22.843
cog,2021,23.011
col,1991,10.12
col,1992,9.44
col,1993,7.8
col,1994,8.25
col,1995,8.72
col,1996,11.81
col,1997,12.14
col,1998,15
col,1999,20.06
col,2000,20.52
col,2001,15.04
col,2002,14.48
col,2003,13.22
col,2004,12.74
col,2005,11.06
col,2006,11.29
col,2007,10.25
col,2008,10.49
col,2009,11.29
col,2010,10.98
col,2011,10.11
col,2012,9.74
col,2013,9.05
col,2014,8.57
col,2015,8.3
col,2016,8.69
col,2017,8.87
col,2018,9.11
col,2019,9.96
col,2020,15.04
col,2021,14.336
com,1991,5.107
com,1992,4.989
com,1993,4.987
com,1994,5.001
com,1995,4.911
com,1996,4.903
com,1997,4.834
com,1998,4.812
com,1999,4.77
com,2000,4.681
com,2001,4.689
com,2002,4.649
com,2003,4.61
com,2004,4.57
com,2005,4.919
com,2006,5.275
com,2007,5.643
com,2008,5.977
com,2009,6.338
com,2010,6.69
com,2011,7.045
com,2012,7.411
com,2013,7.758
com,2014,8.14
com,2015,8.136
com,2016,8.102
com,2017,8.086
com,2018,8.079
com,2019,8.082
com,2020,9.223
com,2021,9.447
cpv,1991,11.273
cpv,1992,11.206
cpv,1993,11.194
cpv,1994,11.121
cpv,1995,11.12
cpv,1996,11.108
cpv,1997,11.083
cpv,1998,11.049
cpv,1999,11.027
cpv,2000,10.983
cpv,2001,11.008
cpv,2002,10.96
cpv,2003,10.931
cpv,2004,10.867
cpv,2005,10.846
cpv,2006,10.803
cpv,2007,10.73
cpv,2008,10.73
cpv,2009,10.725
cpv,2010,10.67
cpv,2011,10.883
cpv,2012,11.121
cpv,2013,11.348
cpv,2014,11.575
cpv,2015,11.8
cpv,2016,12.008
cpv,2017,12.24
cpv,2018,12.17
cpv,2019,12.219
cpv,2020,15.306
cpv,2021,15.423
cri,1991,5.37
cri,1992,3.93
cri,1993,3.95
cri,1994,4.05
cri,1995,5.18
cri,1996,6.16
cri,1997,5.68
cri,1998,5.33
cri,1999,5.9
cri,2000,5.08
cri,2001,5.92
cri,2002,6.33
cri,2003,6.56
cri,2004,6.39
cri,2005,6.57
cri,2006,5.74
cri,2007,4.49
cri,2008,4.78
cri,2009,7.71
cri,2010,7.17
cri,2011,10.14
cri,2012,9.78
cri,2013,8.77
cri,2014,9.06
cri,2015,9
cri,2016,8.6
cri,2017,8.14
cri,2018,9.63
cri,2019,11.49
cri,2020,17.41
cri,2021,17.954
cub,1991,7.902
cub,1992,8.065
cub,1993,8.28
cub,1994,8.143
cub,1995,8.27
cub,1996,7.61
cub,1997,7.1
cub,1998,6.23
cub,1999,6.26
cub,2000,5.45
cub,2001,4.08
cub,2002,3.31
cub,2003,2.33
cub,2004,1.85
cub,2005,1.95
cub,2006,1.91
cub,2007,1.79
cub,2008,1.58
cub,2009,1.67
cub,2010,2.5
cub,2011,3.18
cub,2012,3.46
cub,2013,3.29
cub,2014,2.7
cub,2015,2.4
cub,2016,2
cub,2017,1.7
cub,2018,1.7
cub,2019,1.735
cub,2020,2.624
cub,2021,2.756
cyp,1991,3
cyp,1992,2.09
cyp,1993,2.7
cyp,1994,2.7
cyp,1995,2.6
cyp,1996,3.1
cyp,1997,3.4
cyp,1998,3.3
cyp,1999,5.7
cyp,2000,4.97
cyp,2001,3.98
cyp,2002,3.3
cyp,2003,4.14
cyp,2004,4.33
cyp,2005,5.3
cyp,2006,4.54
cyp,2007,3.92
cyp,2008,3.65
cyp,2009,5.36
cyp,2010,6.26
cyp,2011,7.86
cyp,2012,11.8
cyp,2013,15.87
cyp,2014,16.09
cyp,2015,14.91
cyp,2016,12.95
cyp,2017,11.05
cyp,2018,8.37
cyp,2019,7.07
cyp,2020,7.59
cyp,2021,6.13
cze,1991,2.27
cze,1992,2.6
cze,1993,4.32
cze,1994,4.3
cze,1995,4.02
cze,1996,3.89
cze,1997,4.27
cze,1998,5.9
cze,1999,8.49
cze,2000,8.76
cze,2001,7.99
cze,2002,7.02
cze,2003,7.54
cze,2004,8.21
cze,2005,7.93
cze,2006,7.15
cze,2007,5.32
cze,2008,4.39
cze,2009,6.66
cze,2010,7.28
cze,2011,6.71
cze,2012,6.98
cze,2013,6.95
cze,2014,6.11
cze,2015,5.05
cze,2016,3.95
cze,2017,2.89
cze,2018,2.24
cze,2019,2.01
cze,2020,2.55
cze,2021,2.887
deu,1991,5.32
deu,1992,6.32
deu,1993,7.68
deu,1994,8.73
deu,1995,8.16
deu,1996,8.82
deu,1997,9.86
deu,1998,9.79
deu,1999,8.86
deu,2000,7.92
deu,2001,7.77
deu,2002,8.48
deu,2003,9.78
deu,2004,10.73
deu,2005,11.17
deu,2006,10.25
deu,2007,8.66
deu,2008,7.52
deu,2009,7.74
deu,2010,6.97
deu,2011,5.82
deu,2012,5.38
deu,2013,5.23
deu,2014,4.98
deu,2015,4.62
deu,2016,4.12
deu,2017,3.75
deu,2018,3.38
deu,2019,3.14
deu,2020,3.81
deu,2021,3.535
dji,1991,29.357
dji,1992,29.199
dji,1993,29.189
dji,1994,29.02
dji,1995,28.942
dji,1996,28.84
dji,1997,28.702
dji,1998,28.576
dji,1999,28.432
dji,2000,28.345
dji,2001,28.217
dji,2002,28.083
dji,2003,27.964
dji,2004,27.847
dji,2005,27.72
dji,2006,27.574
