geo,time,gc_xpn_gsrv_cn
afg,2006,40979516418.10249
afg,2007,78364204006.4093
afg,2008,189282742070.978
afg,2009,194435998572.32697
afg,2010,275929492275.172
afg,2011,383080515696.60303
afg,2012,296594956221.96802
afg,2013,321312000000
afg,2014,349978822687.34998
afg,2015,276322171576.65698
afg,2016,315704122542.34497
afg,2017,276172572348.03302
ago,1999,1605860684
ago,2000,10504126714
ago,2001,26353026816
ago,2002,61609450243
ago,2003,140500000000
ago,2004,84725820126
ago,2005,237649000000
ago,2006,277730000000
ago,2007,342749000000
ago,2008,499019000000
ago,2009,358456000000
ago,2010,521502000000
ago,2011,914656000000
ago,2012,1016570000000
ago,2013,1510290000000
ago,2014,1371319756363.04004
ago,2015,637177904448.93994
ago,2016,624059548561.16003
ago,2017,842626618268.09985
ago,2018,858546952693.71985
ago,2019,783627841505.38
alb,1995,10088000000
alb,1996,7317683000
alb,1998,10348449000
alb,2002,22367051520.81
alb,2003,17765290000
alb,2004,19700754430
alb,2011,27427780000
alb,2012,27476390000
alb,2013,32878410000
alb,2014,25115880000
alb,2015,29189980000
alb,2016,32871270000
alb,2017,33481590000
alb,2018,34110080000
alb,2019,36600400000
are,1997,8786000000
are,1998,8851000000
are,1999,8787000000
are,2011,16403261437.66
are,2012,17039735743.23
are,2013,16797317351
are,2014,16950348036.04
are,2015,20747674095.641
are,2016,23025142653.3203
are,2017,21076999432.2799
are,2018,22518733398.88
are,2019,26214608996.97
arg,1990,502400000
arg,1991,1589400000
arg,1992,1743400000
arg,1993,1946300000
arg,1994,2008700000
arg,1995,2178400000
arg,1996,2128600000
arg,1997,2224200000
arg,1998,2388800000
arg,1999,2364100000
arg,2000,1926800000
arg,2001,1921900000
arg,2002,2467300000
arg,2003,2739212712.2
arg,2004,3750294556.73
arg,2014,51174800000
arg,2015,69223500000
arg,2016,83995500000
arg,2017,102277300000
arg,2018,122242200000
arg,2019,173624532003.60999
arm,2004,134427300000
arm,2005,162056617260
arm,2006,158382305800
arm,2007,194393168677
arm,2008,89639440340
arm,2009,95349072000
arm,2010,106238568980
arm,2011,121052328280
arm,2012,149261000000
arm,2013,161966868384
arm,2014,198159782318.58496
arm,2015,201320112630
arm,2016,135643764485.896
arm,2017,184908034747.03101
arm,2018,184823694899.23999
arm,2019,205831841759
aus,1990,23153000000
aus,1991,24752000000
aus,1992,26383000000
aus,1993,28053000000
aus,1994,29569000000
aus,1995,33728000000
aus,1996,35278000000
aus,1997,36293000000
aus,1998,38505000000
aus,1999,14055000000
aus,2000,16866000000
aus,2001,18146000000
aus,2002,19153000000
aus,2003,20717000000
aus,2004,22003000000
aus,2005,24228000000
aus,2006,26073000000
aus,2007,29396000000
aus,2008,30951000000
aus,2009,33147000000
aus,2010,34473000000
aus,2011,36420000000
aus,2012,39729000000
aus,2013,39659000000
aus,2014,42038000000
aus,2015,43708000000
aus,2016,45772000000
aus,2017,48278000000
aus,2018,49565000000
aus,2019,54919000000
aut,1972,1651853520.63545
aut,1973,1888766960.02267
aut,1974,2273932981.11233
aut,1975,2736858934.7616
aut,1976,3048625393.34171
aut,1977,3334956359.96308
aut,1978,3672885038.84363
aut,1979,3916339033.30596
aut,1980,4213570925.05251
aut,1981,4652514843.42638
aut,1982,5130702092.2509
aut,1983,5544937247.0077
aut,1984,5827634571.92067
aut,1985,6175737447.58472
aut,1986,6584158775.60809
aut,1987,6710609507.06017
aut,1988,7030369977.39875
aut,1989,7350857176.07901
aut,1990,7689512583.30124
aut,1991,8160432548.70897
aut,1992,8834109721.44503
aut,1993,9618249602.11623
aut,1994,10447446639.9715
aut,1995,3605210000
aut,1996,3744860000
aut,1997,3879650000
aut,1998,4248590000
aut,1999,4402850000
aut,2000,4375850000
aut,2001,4814120000
aut,2002,4870080000
aut,2003,5170230000
aut,2004,5263270000
aut,2005,7427290000
aut,2006,8038400000
aut,2007,7893240000
aut,2008,8575450000
aut,2009,8767720000
aut,2010,9123990000
aut,2011,9369690000
aut,2012,9365620000
aut,2013,9487940000
aut,2014,9442320000
aut,2015,9667970000
aut,2016,9992670000
aut,2017,10116950000
aut,2018,10627030000
aut,2019,10756960000
aze,1994,70428600
aze,1995,207547000
aze,1996,138219200
aze,1997,156849400
aze,1998,183700400
aze,2008,680500000
aze,2009,789800000
aze,2010,863200000
aze,2011,936100000
aze,2012,1312500000
aze,2013,1473200000
aze,2014,1652300000
aze,2015,1644400000
aze,2016,1889400000
aze,2017,1339100000
aze,2018,1960500000
aze,2019,1577500000
bdi,1981,2909000000
bdi,1991,6478000000
bdi,1992,8134000000
bdi,1993,9818000000
bdi,1994,10577000000
bdi,1995,11741000000
bdi,1996,13205000000
bel,1995,2067200000
bel,1996,2097700000
bel,1997,2103100000
bel,1998,2194000000
bel,1999,2364400000
bel,2000,2538700000
bel,2001,2700100000
bel,2002,2791000000
bel,2003,2883600000
bel,2004,3014800000
bel,2005,3078600000
bel,2006,3091200000
bel,2007,3209600000
bel,2008,3735100000
bel,2009,3690900000
bel,2010,3897400000
bel,2011,4050500000
bel,2012,4014300000
bel,2013,4002900000
bel,2014,4574400000
bel,2015,4503400000
bel,2016,4561400000
bel,2017,4420300000
bel,2018,4708900000
bel,2019,4844400000
ben,1977,2959000000
ben,1978,3768000000
ben,1979,4453000000
bfa,2002,62503169554
bfa,2003,56255191574
bfa,2004,67314681953
bfa,2005,75105574743
bfa,2006,82188841887
bfa,2007,94837665000
bfa,2008,95308772343
bfa,2009,95120137459
bfa,2010,90764421000
bfa,2011,97144429000
bfa,2012,120571000000
bfa,2013,118596000000
bfa,2014,102374171712
bfa,2015,109443138881
bfa,2016,128000000000
bfa,2017,345928617739
bfa,2018,327788798513
bfa,2019,230303057654
bgd,2001,31896730000
bgd,2002,35371210000
bgd,2003,43907460000
bgd,2004,49298480000
bgd,2005,58657711000
bgd,2006,58491101000
bgd,2007,61686189000
bgd,2008,73649012000
bgd,2009,86550860000
bgd,2010,99593728000
bgd,2011,116387800000
bgd,2012,127296400000
bgd,2013,162831400000
bgd,2014,189531800000
bgd,2015,199745300000
bgd,2016,225430000000
bgr,1990,8090000
bgr,1991,15130000
bgr,1992,18879000
bgr,1993,24688000
bgr,1994,42287000
bgr,1995,29147000
bgr,1996,43297000
bgr,1997,761252000
bgr,1998,1123103000
bgr,1999,1218479000
bgr,2000,1510315000
bgr,2001,1561732000
bgr,2002,1878602000
bgr,2003,2055704000
bgr,2004,2216595000
bgr,2005,2403117000
bgr,2006,2404899000
bgr,2007,2942371000
bgr,2008,3134047000
bgr,2009,2485021000
bgr,2010,2534787000
bgr,2011,2635790000
bgr,2012,2662567000
bgr,2013,2785778000
bgr,2014,2761691000
bgr,2015,3131125000
bgr,2016,2751185000
bgr,2017,2832067000
bgr,2018,3328521000
bgr,2019,3133804000
bhr,1974,17600000
bhr,1975,23900000
bhr,1976,30400000
bhr,1977,39500000
bhr,1978,51100000
bhr,1979,53900000
bhr,1980,62200000
bhr,1981,80100000
bhr,1982,125400000
bhr,1983,110100000
bhr,1984,111200000
bhr,1985,114300000
bhr,1986,105100000
bhr,1987,75300000
bhr,1988,62500000
bhr,1989,76700000
bhr,1990,82300000
bhr,1991,87500000
bhr,1992,88800000
bhr,1993,100100000
bhr,1994,99500000
bhr,1995,72700000
bhr,1996,74700000
bhr,1997,73300000
bhr,1998,62900000
bhr,1999,76800000
bhr,2000,53000000
bhr,2001,114500000
bhr,2002,141600000
bhr,2003,134400000
bhr,2004,145700000
bhs,1990,110000000
bhs,1991,111200000
bhs,1992,121500000
bhs,1993,101900000
bhs,1994,102000000
bhs,1995,114200000
bhs,1996,146700000
bhs,1997,154400000
bhs,1998,163217000
bhs,1999,170419000
bhs,2000,167600000
bhs,2001,184800000
bhs,2002,201500000
bhs,2003,233200000
bhs,2004,199072000
bhs,2005,220085000
bhs,2006,238593000
bhs,2007,263648000
bhs,2008,284600000
bhs,2009,319126000
bhs,2010,322378975.31
bhs,2011,381882935.79
bhs,2012,382615404.07
bhs,2013,394030932.61
bhs,2014,361195663.48
bhs,2015,369706799.88
bhs,2016,432357587.96
bhs,2017,575738711.91
bhs,2018,448843000
bhs,2019,591225000
bih,2005,1395493061.29
bih,2006,1738867775.07
bih,2007,1978513364.72
bih,2008,2191025315.613
bih,2009,2258151523.69
bih,2010,2339739395.83
bih,2011,1855070505
bih,2012,1873942601
bih,2013,1869085609
bih,2014,1853166895.42
bih,2015,1877534684.67
bih,2016,1906044384.84
bih,2017,1952966610.61
bih,2018,2128744848.4
bih,2019,2251671916.99
blr,1992,1190
blr,1993,19410
blr,1994,325130
blr,1995,1371980
blr,1996,1285040
blr,1997,2257780
blr,1998,3544150
blr,1999,12315830
blr,2000,33165000
blr,2001,66812000
blr,2002,80392000
blr,2003,173869420
blr,2004,277048700
blr,2005,231739600
blr,2006,395576700
blr,2007,467678830
blr,2008,522237100
blr,2009,519862400
blr,2010,507433342.82179
blr,2011,799680000
blr,2012,1741390000
blr,2013,2189640000
blr,2014,2765410940
blr,2015,2815036681.21
blr,2016,2908936239.7
blr,2017,4142728563.9
blr,2018,4921360717.4
blr,2019,5229216513.11
blz,1990,26495000
blz,1991,29700000
blz,1992,55481000
blz,1993,64571000
blz,1994,67182000
blz,1995,57716000
blz,1996,63822000
blz,1997,51671000
blz,1998,52982000
blz,1999,62374000
blz,2000,60756000
blz,2001,66851000
blz,2002,63350000
blz,2003,73437000
blz,2004,78526000
blz,2005,95048000
blz,2006,138699000
blz,2007,134186000
blz,2008,148721000
blz,2009,158027000
blz,2010,164844000
blz,2011,174117000
blz,2012,176073431
blz,2013,190516174.18
blz,2014,187534435.27
blz,2015,197237614.64
blz,2016,215509523.61
blz,2017,214776137.56
bol,1986,221100000
bol,1987,195300000
bol,1988,273100000
bol,1989,398100000
bol,1990,687800000
bol,1991,890900000
bol,1992,1243400000
bol,1993,1477400000
bol,1994,1445300000
bol,1995,1568700000
bol,1996,1623600000
bol,1997,1253600000
bol,1998,1576300000
bol,1999,1620800000
bol,2000,1753300000
bol,2001,2322110000
bol,2002,2648225730.56
bol,2003,2929667092.43
bol,2004,3190300000
bol,2005,2766316210.07
bol,2006,3072755194.81
bol,2007,3189479066.88
bra,2010,39205965129.765
bra,2011,41631919230.81
bra,2012,44622802221.0323
bra,2013,50134295635.443
bra,2014,54680124366.401
bra,2015,57696230744.268
bra,2016,61424300646.018
bra,2017,58699503358.6933
bra,2018,63347703639.139
bra,2019,63040329937.204
brb,2003,208230000
brb,2004,185400000
brb,2005,303498836.46
brb,2006,323661482.75
brb,2007,366986367
brb,2008,434524702
brb,2009,444346140
brb,2010,435275205
brb,2011,458986306
brb,2012,469344576
brb,2013,438814474
brb,2014,380473151
brb,2015,434832997
brb,2016,435702088
btn,1982,131800000
btn,1983,142400000
btn,1984,211200000
btn,1988,378200000
btn,1989,366400000
btn,1990,465300000
btn,1991,467600000
btn,1992,534400000
btn,1993,589700000
btn,1994,650600000
btn,1995,795200000
btn,1996,972200000
btn,1997,1103300000
btn,1998,1254147000
btn,1999,1486100000
btn,2000,1760000000
btn,2001,2028200000
btn,2002,2161231000
btn,2003,2093209000
btn,2004,2386645000
btn,2005,3179664000
btn,2006,3487864000
btn,2007,3972530000
btn,2008,4350538000
btn,2009,4656976000
btn,2010,5824667000
btn,2011,7298268000
btn,2012,7102891000
btn,2013,6998627000
btn,2014,6905050553
btn,2015,6486494000
btn,2016,7096809000
btn,2017,7710388362.33
btn,2018,7727475090.27
bwa,1990,661570000
bwa,1991,677600000
bwa,1992,775000000
bwa,1993,999100000
bwa,1994,1031800000
bwa,1995,1269600000
bwa,1996,1347400000
bwa,2006,5519460000
bwa,2007,6733420000
bwa,2008,8639670000
bwa,2009,8801890000
bwa,2010,7940660000
bwa,2011,8840110000
bwa,2012,10182920000
bwa,2013,10856430000
bwa,2014,13018660000
bwa,2015,12180030000
bwa,2016,12107110000
bwa,2017,12669750000
bwa,2018,14014780000
bwa,2019,10533570000
caf,2004,17281100000
caf,2008,19125463678
caf,2009,66461778286
caf,2010,100287755219
caf,2011,75432881175
caf,2012,24993341734
caf,2014,6348000000
caf,2015,15233638322
caf,2016,21972000000
caf,2017,27744000000
caf,2018,30478000000
can,1990,12603000000
can,1991,12502000000
can,1992,12600000000
can,1993,13963000000
can,1994,14205000000
can,1995,13644000000
can,1996,13585000000
can,1997,12750000000
can,1998,13759000000
can,1999,14273000000
can,2000,15328000000
can,2001,16806000000
can,2002,17719000000
can,2003,18079000000
can,2004,18699000000
can,2005,18976000000
can,2006,20362000000
can,2007,20107000000
can,2008,21289000000
can,2009,21067000000
can,2010,23367000000
can,2011,24642000000
can,2012,24288000000
can,2013,22436000000
can,2014,23314000000
can,2015,24196000000
can,2016,25406000000
can,2017,28558000000
can,2018,29600000000
can,2019,30440000000
che,1972,3785000000
che,1973,4098000000
che,1974,4650000000
che,1975,5296000000
che,1976,5999000000
che,1977,6217000000
che,1978,6374000000
che,1979,6779000000
che,1980,7270000000
che,1981,8108000000
che,1982,8926000000
che,1983,9584000000
che,1984,10090000000
che,1990,3576991765.21
che,1991,4146746007.72
che,1992,4300350188.25
che,1993,4636654151.62
che,1994,4729420753.62
che,1995,4643453512.39
che,1996,5139762632.48
che,1997,5141724111.83
che,1998,5125983761.79
che,1999,5414047256.75
che,2000,5484337776.16
che,2001,5089302563.05
che,2002,5353679172.01
che,2003,5428483990.21
che,2004,5283736423.7
che,2005,5232285289.56
che,2006,5278759904.28
che,2007,5728382250.73
che,2008,6322558373.71
che,2009,6764481440.56
che,2010,6733268103.19
che,2011,6853386304.42
che,2012,7014278539.91
che,2013,7269129634.03
che,2014,7461998418.89
che,2015,7642049432.73
che,2016,7934574871.94
che,2017,7988655554.22
che,2018,8021792501.47
che,2019,7919853638.36
chl,1972,10000000
chl,1973,70000000
chl,1974,390000000
chl,1975,1470000000
chl,1976,4200000000
chl,1977,9540000000
chl,1978,17650000000
chl,1979,22580000000
chl,1980,32050000000
chl,1981,34880000000
chl,1982,39530000000
chl,1983,53920000000
chl,1984,68570000000
chl,1985,90410000000
chl,1986,104160000000
chl,1987,127670000000
chl,1988,138140000000
chl,1989,148450000000
chl,1990,189550000000
chl,1991,256720000000
chl,1992,319150000000
chl,1993,380230000000
chl,1994,432380000000
chl,1995,481960000000
chl,1996,558180000000
chl,1997,618530000000
chl,1998,697710000000
chl,1999,632970000000
chl,2000,745130000000
chl,2001,815640000000
chl,2002,832660000000
chl,2003,832490000000
chl,2004,998040000000
chl,2005,988000000000
chl,2006,1129000000000
chl,2007,1328852000000
chl,2008,1561130000000
chl,2009,1845578514226.29004
chl,2010,1902707863960
chl,2011,2016792641556.13989
chl,2012,2211075000000
chl,2013,2419258000000
chl,2014,2735936131793.81982
chl,2015,3073197942977.37988
chl,2016,3267241619690
chl,2017,3509744000000
chl,2018,3677064683404.72949
chl,2019,3865910188410
civ,1995,0
civ,2001,208268000000
civ,2002,263220000000
civ,2003,412400000000
civ,2004,436500000000
civ,2005,423000000000
civ,2006,433200000000
civ,2007,467400000000
civ,2008,585200000000
civ,2009,355277000000
civ,2010,371431000000
civ,2011,299219000000
civ,2012,388571000000
civ,2013,376977000000
civ,2014,474961003672
civ,2015,617481812007
civ,2016,652495298000
civ,2017,741806234454
civ,2018,626273597499
civ,2019,572539383436.99597
cmr,1990,81640000000
cmr,1991,80910000000
cmr,1992,63670000000
cmr,1993,49880000000
cmr,1994,60080000000
cmr,1995,83580000000
cmr,1998,143000000000
cmr,1999,169200000000
cmr,2012,574918200000
cmr,2013,677173000000
cmr,2014,767600000000
cmr,2015,789100000000
cmr,2016,773200000000
cmr,2017,724400000000
cmr,2018,863856838857.59985
cod,1972,0.00035
cod,1973,0.00047
cod,1974,0.0007
cod,1975,0.00066
cod,1976,0.00146
cod,1977,0.00113
cod,1978,0.00115
cod,1979,0.00254
cod,1980,0.00385
cod,1981,0.0063
cod,1982,0.01058
cod,1988,0.60154
cod,1989,0.56882
cog,2001,87100000000
cog,2002,151700000000
cog,2003,113127500000
cog,2004,227045118642
cog,2005,133495695226
cog,2006,181400000000
cog,2007,237886000000
cog,2008,173323000000
cog,2009,257320000000
cog,2010,283815000000
cog,2011,309830949742
cog,2012,420664071398
cog,2013,395121300000
cog,2014,489159572244
cog,2015,470897000000
cog,2016,359089800000
cog,2017,295700000000
cog,2018,212900000000
col,1998,2790779733066.08984
col,1999,3085330505403.12012
col,2000,2757490403153.0498
col,2003,6772227000469
col,2008,12511189000000
col,2009,13045058000000
col,2010,14567222000000
col,2011,15039951000000
col,2012,29989459000000
col,2013,36191746240000
col,2014,30641349389000
col,2015,30886764065504.60156
col,2016,24754693442313.5
col,2017,33146120853013.39844
col,2018,35985972790793.20312
col,2019,31645782416323.30078
cpv,2005,5559856099.09453
cpv,2006,5415507925.35545
cpv,2007,6339420706.49
cpv,2008,5133567539.67
cpv,2009,5434748025.2583
cpv,2010,5451128949.28245
cpv,2011,5982510648.01573
cpv,2012,5303565976.95812
cpv,2013,5242217308.36
cpv,2014,6017687014.76275
cpv,2015,8257707217.1
cpv,2016,7657296986.32
cpv,2017,7418323515.73
cri,1973,170000000
cri,1974,260000000
cri,1975,390000000
cri,1976,470000000
cri,1977,510000000
cri,1978,690000000
cri,1979,820000000
cri,1980,850000000
cri,1981,1030000000
cri,1982,1900000000
cri,1983,2510000000
cri,1984,3030000000
cri,1985,3680000000
cri,1986,4240000000
cri,1987,8800000000
cri,1988,12370000000
cri,1989,16040000000
cri,1990,18570000000
cri,1991,23020000000
cri,1992,29720000000
cri,1993,35230000000
cri,1994,43750000000
cri,1995,53370000000
cri,1996,68290000000
cri,1997,78460000000
cri,1998,93040000000
cri,1999,102320000000
cri,2000,118180000000
cri,2001,138730000000
cri,2002,176630000000
cri,2003,209000000000
cri,2004,212960000000
cri,2005,227855000000
cri,2006,278500000000
cri,2007,344500000000
cri,2008,427429490180.23297
cri,2009,476415338684.68597
cri,2010,512292922629.62402
cri,2011,585130015923.51001
cri,2012,633699243022.78796
cri,2013,681949000000
cri,2014,758350041068.01501
cri,2015,820769330273.51794
cri,2016,875417325042.42896
cri,2017,958814274901.17212
cri,2018,1025473374732.08997
cri,2019,1112656053198.55005
cyp,1972,16744294.12549
cyp,1973,18931303.97045
cyp,1974,25441075.46209
cyp,1975,31455352.53574
cyp,1976,34411233.02932
cyp,1977,35829372.22566
cyp,1978,33095609.91946
cyp,1979,41296896.83806
cyp,1980,43159272.40916
cyp,1981,57989932.92031
cyp,1982,60501577.03913
cyp,1983,68156111.4965
cyp,1984,72871851.47469
cyp,1985,73589464.08007
cyp,1986,66652542.22808
cyp,1987,74272904.65662
cyp,1988,84797889.5355
cyp,1989,90094554.00377
cyp,1990,171772723.22122
cyp,1991,204965378.94904
cyp,1992,219795518.88724
cyp,1993,259994539.9402
cyp,1994,265015768.42322
cyp,1995,145743702.94939
cyp,1996,137200695.74251
cyp,1997,312674063.77184
cyp,1998,600402546.49959
cyp,1999,661741338.24499
cyp,2000,546069020.66383
cyp,2001,803042677.4468
cyp,2002,918885855.17211
cyp,2003,951007562.26998
cyp,2004,774338173.23168
cyp,2005,859939105.44463
cyp,2006,1026869466.26708
cyp,2007,1115716741.21864
cyp,2008,1252063136.24046
cyp,2009,802000000
cyp,2010,768500000
cyp,2011,776600000
cyp,2012,720100000
cyp,2013,640900000
cyp,2014,543400000
cyp,2015,555619672.86579
cyp,2016,572982856.64581
cyp,2017,624572038.73679
cyp,2018,706682328.92746
cyp,2019,1075770412.10063
cze,1993,59309000000
cze,1994,47143000000
cze,1995,55555000000
cze,1996,53011000000
cze,1997,65436000000
cze,1998,63620000000
cze,1999,71777000000
cze,2000,78629000000
cze,2001,92362000000
cze,2002,102425000000
cze,2003,105132000000
cze,2004,107059000000
cze,2005,111197000000
cze,2006,119561000000
cze,2007,130390000000
cze,2008,135449000000
cze,2009,141618000000
cze,2010,138565000000
cze,2011,132083000000
cze,2012,117366000000
cze,2013,119778000000
cze,2014,123708000000
cze,2015,132715000000
cze,2016,135261000000
cze,2017,131835000000
cze,2018,148938000000
cze,2019,155081000000
deu,1972,25569706978.62289
deu,1973,29925913806.4147
deu,1974,35360946503.5305
deu,1975,40668156230.3472
deu,1976,43720568761.0886
deu,1977,45392493212.6003
deu,1978,49032891406.7174
deu,1979,52928935541.4325
deu,1980,57407852420.7114
deu,1981,61856091787.1185
deu,1982,63533129157.44209
deu,1983,65752135921.83369
deu,1984,70328198258.5399
deu,1985,73431739977.40089
deu,1986,76755137205.1763
deu,1987,79546790876.50769
deu,1988,84542112555.79469
deu,1989,83187189070.6248
deu,1990,89266449538.04781
deu,1991,19073000000
deu,1992,21503000000
deu,1993,21064000000
deu,1994,19868000000
deu,1995,19015576013.5509
deu,1996,19088323854.4011
deu,1997,17939338401.8804
deu,1998,18153183229.299
deu,1999,19294290777.9375
deu,2000,19817822519.5822
deu,2001,20041502211.4264
deu,2002,20996843341.4697
deu,2003,21951624332.4738
deu,2004,21639422103.6346
deu,2005,24208645817.8093
deu,2006,24500671501.332
deu,2007,25156811210.7453
deu,2008,27522057882.0568
deu,2009,30034117385.311
deu,2010,31118591202.0466
deu,2011,33726756252.7033
deu,2012,36153596738.4651
deu,2013,37623647042.8328
deu,2014,37441082945.8271
deu,2015,37460458651.785
deu,2016,41261496281.5434
deu,2017,46012382692.0396
deu,2018,47127356323.0044
deu,2019,51107958735.6827
dnk,1972,6551000000
dnk,1973,5279000000
dnk,1974,6505000000
dnk,1975,7335000000
dnk,1976,7538000000
dnk,1977,8087000000
dnk,1978,9025000000
dnk,1979,9782000000
dnk,1980,11812000000
dnk,1981,13337000000
dnk,1982,15358000000
dnk,1983,16898000000
dnk,1984,17972000000
dnk,1985,19238000000
dnk,1986,19725000000
dnk,1987,22069000000
dnk,1988,23587000000
dnk,1989,24476000000
dnk,1990,26524000000
dnk,1991,27337000000
dnk,1992,30365000000
dnk,1993,32195000000
dnk,1994,33495000000
dnk,1995,28086000000
dnk,1996,29242000000
dnk,1997,28842000000
dnk,1998,30426000000
dnk,1999,33694000000
dnk,2000,36937000000
dnk,2001,39830000000
dnk,2002,40924000000
dnk,2003,39360000000
dnk,2004,42243000000
dnk,2005,44138000000
dnk,2006,47555000000
dnk,2007,47474000000
dnk,2008,54245000000
dnk,2009,58510000000
dnk,2010,59944000000
dnk,2011,61630000000
dnk,2012,64139000000
dnk,2013,63269000000
dnk,2014,64183000000
dnk,2015,63776000000
dnk,2016,63345000000
dnk,2017,65808000000
dnk,2018,68111000000
dnk,2019,69751000000
dom,1972,34000000
dom,1973,37500000
dom,1974,56300000
dom,1975,58200000
dom,1976,66400000
dom,1977,79000000
dom,1978,83200000
dom,1979,101300000
dom,1980,116400000
dom,1981,138300000
dom,1982,127300000
dom,1983,144900000
dom,1984,213500000
dom,1985,343100000
dom,1986,327100000
dom,1987,364000000
dom,1988,477900000
dom,1989,620300000
dom,1990,736200000
dom,1991,947500000
dom,1992,1698500000
dom,1993,2454400000
dom,1994,2827600000
dom,1995,2718300000
dom,1996,2681400000
dom,1997,3102500000
dom,1998,4827000000
dom,1999,5398400000
dom,2000,6055800000
dom,2001,7607180507.232
dom,2002,9139128329.52
dom,2003,10850467447.1
dom,2004,17185385449.2131
dom,2005,24531647209.2079
dom,2006,30893126946.4538
dom,2007,38760575338.9947
dom,2008,37285256204.7392
dom,2009,45196354885.0281
dom,2010,52847207991.78249
dom,2011,53892044112.7702
dom,2012,65798962804
dom,2013,66473754791.9007
dom,2014,78130880318.0392
dom,2015,86017286355.47038
dom,2016,93859549405.0625
dom,2017,107872518493.584
dom,2018,113857768821.32401
dom,2019,132664151987.595
egy,1975,508000000
egy,1976,565000000
egy,1977,593000000
egy,1978,631000000
egy,1979,762000000
egy,1981,1561000000
egy,1982,2106000000
egy,1983,2469000000
egy,1984,3377000000
egy,1985,3797000000
egy,1986,4220000000
egy,1987,4670000000
egy,1988,4659000000
egy,1989,4818000000
egy,1990,5164000000
egy,1991,6557000000
egy,1992,7821000000
egy,1993,8272000000
egy,1994,9371000000
egy,1995,10423000000
egy,1996,16756000000
egy,1997,17068000000
egy,2002,8717000000
egy,2003,8542000000
egy,2004,9409000000
egy,2005,12713000000
egy,2006,14494500000
egy,2007,17120600000
egy,2008,18790000000
egy,2009,25202800000
egy,2010,28245200000
egy,2011,26645200000
egy,2012,27079000000
egy,2013,27155000000
egy,2014,27556000000
egy,2015,31580000000
esp,1972,648492060.6301
esp,1973,848028079.28552
esp,1974,1016311468.51298
esp,1975,1263327443.41471
esp,1976,1464666498.38328
esp,1977,1821667688.38724
esp,1978,2464149627.97351
esp,1979,1840900075.72753
esp,1980,2010986501.26814
esp,1981,2149820297.38079
esp,1982,2719579772.33662
esp,1983,3140889257.50965
esp,1984,3636724243.62627
esp,1985,3902371593.7639
esp,1986,4784056350.89491
esp,1987,6306420011.29903
esp,1988,6106883992.64361
esp,1989,7542100897.91208
esp,1990,5503467839.84229
esp,1991,6114697150.0006
esp,1992,7052877044.94369
esp,1993,8507326337.55244
esp,1994,8160542353.323
esp,2017,9174000000
esp,2018,9273000000
esp,2019,9773000000
est,1991,285520.44743
est,1995,178375139.72262
est,1996,202830836.45443
est,1997,246894009.77995
est,1998,274910777.38516
est,1999,298356365.55114
est,2000,304140004.48481
est,2001,310728080.26285
est,2002,323414478.17017
est,2003,366817460.31746
est,2004,359462148.43041
est,2005,394909790.88993
est,2006,449165705.49108
est,2007,498926820.03667
est,2008,567229161.3884
est,2009,525747843.86884
est,2010,550968412.21401
est,2011,598651388.83993
est,2012,646670447.72793
est,2013,650454346.30322
est,2014,708984465.63138
est,2015,751371797.71133
est,2016,812687158.83588
est,2017,883884628.63033
est,2018,931300987.28069
est,2019,1033746991.74021
eth,1990,1746500000
eth,1991,1314800000
eth,1992,1174400000
eth,1993,1174000000
eth,1994,1477900000
eth,1995,1993900000
eth,1996,1973900000
eth,1997,2163800000
eth,1998,2267600000
eth,1999,4429600000
eth,2001,2196500000
eth,2002,3277600000
eth,2003,2150800000
eth,2004,3268900000
eth,2005,2999800000
eth,2006,4313200000
eth,2007,4706000000
eth,2008,5039800000
eth,2009,8588000000
eth,2010,10364000000
eth,2011,10820100000
eth,2012,8105900000
eth,2013,15109429326.7005
eth,2014,21314245702.48
eth,2015,25286338045.8
eth,2016,30353382534.95
eth,2017,38504576071.11
eth,2018,44810730198.96
eth,2019,51715662907.02
fin,1972,251609137.98642
fin,1973,294665247.16057
fin,1974,363790484.93625
fin,1975,484717604.06208
fin,1976,530969283.83899
fin,1977,590003246.02698
fin,1978,672078954.1402
fin,1979,766096005.03218
fin,1980,940675072.69923
fin,1981,1024264472.1506
fin,1982,1216335084.16965
fin,1983,1462225832.65638
fin,1984,1463066772.28868
fin,1985,1711143963.81941
fin,1986,1813065847.25509
fin,1987,2051051763.19813
fin,1988,2163569486.00088
fin,1989,2376999964.68054
fin,1990,2776782665.87955
fin,1991,3146123352.38903
fin,1992,3709048342.2557
fin,1993,3387473026.86129
fin,1994,3722839752.22555
fin,1995,3069737911.07018
fin,1996,3172828128.42804
fin,1997,3224442724.59866
fin,1998,3228967835.33209
fin,1999,3363915891.84263
fin,2000,3420952703.45102
fin,2001,3818266460.60319
fin,2002,4072970224.25455
fin,2003,4228505706.4809
fin,2004,4421342494.52271
fin,2005,4578428790.22646
fin,2006,4858555978.348
fin,2007,5044075598.24374
fin,2008,5342317809.17495
fin,2009,5847973579.54708
fin,2010,5952179698.018
fin,2011,5846941338.21489
fin,2012,5993710575.07847
fin,2013,6352923293.80732
fin,2014,6339416116.374
fin,2015,6778411901.59571
fin,2016,6952295336.03585
fin,2017,6922268065.27759
fin,2018,7092003224.49963
fin,2019,7355202578.43688
fji,1990,38720000
fji,1991,124060000
fji,1992,176140000
fji,1993,178760000
