world_6region,time,income_mountain_50bracket_shape_for_log
america,1800,"365,636,1255,2304,3876,6497,11027,19195,34500,63974,119705,221881,400040,677760,1090747,1652640,2197327,2563071,2754122,2740658,2516665,2080486,1540360,1080988,716612,432791,255869,150837,87848,51747,31412,19368,11900,7222,4324,2557,1494,886,519,291,169,101,49,20,7,0,0,0,0,0"
america,1801,"366,639,1240,2296,3881,6508,11050,19290,34773,64769,121541,225704,407066,688894,1109513,1680375,2226417,2586365,2776767,2766758,2542917,2109971,1561844,1089566,720802,433510,255287,150253,87314,51294,31091,19185,11819,7207,4334,2578,1511,902,526,298,173,103,50,21,9,0,0,0,0,0"
america,1802,"366,643,1231,2296,3889,6535,11120,19462,35237,65868,123954,230492,415386,701590,1130916,1707103,2250778,2605684,2792844,2783351,2561181,2136545,1587062,1105526,732675,440581,258942,152554,88844,52268,31721,19627,12134,7444,4501,2695,1586,949,559,319,185,113,54,25,11,1,0,0,0,0"
america,1803,"367,648,1260,2348,3967,6668,11367,19895,36023,67308,126502,234901,422744,713160,1150924,1735927,2283076,2637269,2825996,2815594,2587645,2150833,1595866,1115163,738506,444239,261529,153827,89321,52402,31735,19570,12031,7325,4385,2609,1525,902,531,300,172,106,50,22,10,0,0,0,0,0"
america,1804,"367,644,1267,2351,3980,6702,11442,20094,36514,68433,128751,238803,428229,720543,1164730,1754166,2302386,2662838,2861416,2854598,2622268,2177918,1615964,1129275,747711,449623,264580,155524,90240,52906,32010,19709,12107,7349,4402,2613,1527,907,527,301,173,105,48,22,9,0,0,0,0,0"
america,1805,"370,647,1308,2471,4163,6945,11759,20539,37220,69665,131019,242831,434567,730211,1180213,1772505,2322314,2686024,2887509,2884276,2655280,2218465,1649685,1147571,759000,454364,265398,155390,89875,52463,31672,19517,12059,7391,4477,2685,1589,950,558,319,186,114,54,25,10,1,0,0,0,0"
america,1806,"372,651,1294,2469,4170,6978,11825,20695,37616,70561,132876,246378,440200,738772,1193001,1782789,2333318,2708807,2923354,2925005,2692286,2255886,1680629,1165728,772678,463178,269988,157844,91154,53072,31916,19629,12100,7402,4480,2695,1594,956,563,321,188,115,55,25,10,2,0,0,0,0"
america,1807,"373,661,1323,2563,4352,7311,12446,21861,39828,74631,140078,258377,458050,764889,1232050,1826319,2373568,2744371,2952578,2943268,2701544,2266840,1689436,1169058,776030,466018,271900,159062,91864,53462,32071,19662,12078,7368,4446,2674,1581,959,563,325,187,115,56,25,10,3,0,0,0,0"
america,1808,"378,667,1353,2529,4284,7261,12474,22092,40560,76293,143402,264649,468335,782699,1263141,1864701,2410473,2779380,2987890,2970708,2724833,2261886,1685962,1189749,790126,476896,281520,165465,95981,56246,33967,20800,12678,7613,4505,2642,1524,903,521,294,168,102,47,19,8,0,0,0,0,0"
america,1809,"384,678,1369,2624,4450,7481,12786,22600,41580,78385,147607,272360,479369,799040,1285288,1883059,2425093,2799644,3017204,3004056,2759480,2317055,1731496,1208049,801510,480227,280086,163696,94440,54911,33006,20258,12459,7593,4568,2723,1603,966,563,323,189,112,55,22,10,3,0,0,0,0"
america,1810,"389,692,1388,2713,4649,7867,13520,24014,44369,83611,157027,288128,501922,833900,1333804,1932075,2469099,2839209,3050280,3025426,2773438,2342869,1755673,1218627,811418,487769,284252,166056,95711,55508,33186,20253,12387,7521,4521,2700,1596,962,565,324,192,115,57,23,10,4,0,0,0,0"
america,1811,"395,709,1482,2963,5048,8470,14439,25539,47136,88684,166211,304018,525734,870356,1383327,1982777,2508112,2861665,3063871,3035574,2787732,2376975,1792668,1241307,828790,499247,289977,169130,97005,55722,32993,20023,12221,7414,4458,2653,1567,941,550,321,185,114,56,22,10,5,0,0,0,0"
america,1812,"399,720,1440,2841,4888,8319,14362,25700,47782,90219,169253,309479,534456,884377,1403941,2011203,2545549,2906938,3115712,3089940,2841846,2417162,1820054,1266523,845388,508714,296342,172995,99614,57658,34390,20939,12772,7733,4634,2761,1629,979,575,334,193,120,57,24,10,5,0,0,0,0"
